2568-2,86010001,1,1
2568-2,86010002,1,1
2568-2,86010004,1,1
2568-2,86010006,1,1
2568-2,86010008,1,0
2568-2,86010009,1,1
2568-2,86010010,1,1
2568-2,86010011,1,1
2568-2,86010013,1,1
2568-2,86010014,1,1
2568-2,86010015,1,1
2568-2,86010016,1,1
2568-2,86010017,1,1
2568-2,86010019,1,1
2568-2,86010020,1,1
2568-2,86010021,1,1
2568-2,86010023,1,1
2568-2,86010024,1,1
2568-2,86010025,1,1
2568-2,86010027,1,1
2568-2,86010029,1,1
2568-2,86010030,1,1
2568-2,86010032,1,1
2568-2,86010036,1,1
2568-2,86010037,1,1
2568-2,86010039,1,1
2568-2,86010040,1,1
2568-2,86010041,1,1
2568-2,86010042,1,1
2568-2,86010043,1,1
2568-2,86010044,1,0
2568-2,86010045,1,1
2568-2,86010046,1,1
2568-2,86010047,1,1
2568-2,86010048,1,1
2568-2,86010052,1,1
2568-2,86010053,1,1
2568-2,86010055,1,1
2568-2,86010056,1,1
2568-2,86010059,1,1
2568-2,86010060,1,1
2568-2,86010061,1,1
2568-2,86010062,1,1
2568-2,86010063,1,1
2568-2,86010064,1,1
2568-2,86010066,1,1
2568-2,86010068,1,0
2568-2,86010069,1,1
2568-2,86010070,1,1
2568-2,86010071,1,0
2568-2,86010072,1,1
2568-2,86010073,1,1
2568-2,86010075,1,1
2568-2,86010076,1,1
2568-2,86010077,1,1
2568-2,86010078,1,1
2568-2,86010079,1,1
2568-2,86010080,1,1
2568-2,86010083,1,1
2568-2,86010089,1,1
2568-2,86010090,1,1
2568-2,86010091,1,1
2568-2,86010092,1,1
2568-2,86010093,1,1
2568-2,86010094,1,1
2568-2,86010095,1,1
2568-2,86010096,1,1
2568-2,86010097,1,1
2568-2,86010098,1,1
2568-2,86010099,1,0
2568-2,86010100,1,0
2568-2,86010101,1,1
2568-2,86010102,1,1
2568-2,86010103,1,1
2568-2,86010104,1,0
2568-2,86010105,1,0
2568-2,86010106,1,1
2568-2,86010107,1,1
2568-2,86010108,1,1
2568-2,86010109,1,1
2568-2,86010110,1,1
2568-2,86010111,1,0
2568-2,86010112,1,1
2568-2,86010113,1,1
2568-2,86010115,1,1
2568-2,86010118,1,1
2568-2,86010119,1,1
2568-2,86010120,1,1
2568-2,86010121,1,1
2568-2,86010122,1,1
2568-2,86010124,1,1
2568-2,86010126,1,1
2568-2,86010127,1,1
2568-2,86010128,1,1
2568-2,86010129,1,0
2568-2,86010130,1,0
2568-2,86010131,1,1
2568-2,86010132,1,1
2568-2,86010133,1,1
2568-2,86010134,1,1
2568-2,86010136,1,1
2568-2,86010137,1,1
2568-2,86010139,1,1
2568-2,86010140,1,0
2568-2,86010142,1,1
2568-2,86010143,1,1
2568-2,86010145,1,1
2568-2,86010000,107,95
