2569-1,86010001,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010004,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010006,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2569-1,86010008,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010009,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010010,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010011,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2569-1,86010013,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010015,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010016,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010017,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010019,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2569-1,86010020,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010021,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010023,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010024,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010025,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010027,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010029,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010030,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010032,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010036,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010037,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010039,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010040,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010041,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010042,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010043,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2569-1,86010044,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010045,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010046,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010047,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010048,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010052,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010053,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2569-1,86010055,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2569-1,86010056,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010059,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010060,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010061,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010062,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2569-1,86010063,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010064,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2569-1,86010066,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2569-1,86010068,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2569-1,86010069,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2569-1,86010070,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
